Name	Date	Category
Paddle to the Bay	2023-07-26	public health
Paddle to the Bay	2023-07-26	teaching
Paws for a Cause	2021-05-09	environment
Paws for a Cause	2021-05-09	grassroots
Paws for a Cause	2021-05-09	teaching
Pendeza	2022-06-22	animals
Pendeza	2022-06-22	children
Pendeza	2022-06-22	crime prevention
Pendeza	2022-06-22	environment
Pendeza	2022-06-22	grassroots
Pendeza	2022-06-22	teaching
Project Ai	2022-08-09	crime prevention
Project Ai	2022-08-09	environment
Project Ai	2022-08-09	grassroots
Project Ai	2022-08-09	teaching
Project Enrich	2021-02-18	environment
Project HomeWorks: Creating safe & sanitary homes	2021-06-30	children
Project HomeWorks: Creating safe & sanitary homes	2021-06-30	crime prevention
Project HomeWorks: Creating safe & sanitary homes	2021-06-30	teaching
Project Illuminate	2021-02-15	animals
Project Illuminate	2021-02-15	crime prevention
Project Illuminate	2021-02-15	public health
Racial Harmony Day	2021-07-19	teaching
Ramadan Drive by Assyafaah Mosque	2021-05-25	animals
Ramadan Drive by Assyafaah Mosque	2021-05-25	children
Ramadan Drive by Assyafaah Mosque	2021-05-25	environment
Ramadan Drive by Assyafaah Mosque	2021-05-25	grassroots
Ramadan Drive by Assyafaah Mosque	2021-05-25	public health
Ramadan Drive by Assyafaah Mosque	2021-05-25	teaching
Road Series rideouts	2021-12-25	crime prevention
Road Series rideouts	2021-12-25	environment
Singapore International Martial Arts Tournament	2021-05-01	animals
Singapore International Martial Arts Tournament	2021-05-01	public health
SMU Buddy Programme	2023-05-29	animals
SMU Buddy Programme	2023-05-29	crime prevention
SMU Buddy Programme	2023-05-29	environment
SMU Buddy Programme	2023-05-29	grassroots
SMU Buddy Programme	2023-05-29	public health
SMU Buddy Programme	2023-05-29	teaching
SMU Dragon Battle	2021-01-06	grassroots
SMU Host Programme	2021-08-28	public health
South West Community Job Fair	2023-11-20	animals
South West Community Job Fair	2023-11-20	environment
South West Community Job Fair	2023-11-20	public health
Sparks!	2023-01-28	children
Sparks!	2023-01-28	public health
SPLASH!	2021-09-24	animals
SPLASH!	2021-09-24	children
SPLASH!	2021-09-24	crime prevention
SPLASH!	2021-09-24	environment
SPLASH!	2021-09-24	grassroots
SPLASH!	2021-09-24	public health
SPLASH!	2021-09-24	teaching
starringSMU	2021-06-16	animals
starringSMU	2021-06-16	children
starringSMU	2021-06-16	environment
starringSMU	2021-06-16	grassroots
starringSMU	2021-06-16	public health
starringSMU	2021-06-16	teaching
Staying Connected in a 3G Family	2022-01-26	animals
Staying Connected in a 3G Family	2022-01-26	children
Staying Connected in a 3G Family	2022-01-26	crime prevention
Staying Connected in a 3G Family	2022-01-26	environment
Staying Connected in a 3G Family	2022-01-26	grassroots
Staying Connected in a 3G Family	2022-01-26	public health
Staying Connected in a 3G Family	2022-01-26	teaching
Street Count of Rough Sleepers	2021-06-13	crime prevention
Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	children
Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	crime prevention
Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	environment
Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	public health
The GoodLife! Workout 	2022-07-29	environment
The GoodLife! Workout 	2022-07-29	grassroots
The GoodLife! Workout 	2022-07-29	teaching
THE WISHMAKERS PROGRAM	2023-11-14	environment
THE WISHMAKERS PROGRAM	2023-11-14	public health
Vegan Picnic	2023-01-19	children
Vegan Picnic	2023-01-19	environment
Vegan Picnic	2023-01-19	grassroots
Volunteer Give Life, Give Cheer, Give SCS	2021-09-22	animals
Volunteer Give Life, Give Cheer, Give SCS	2021-09-22	children
Volunteer Give Life, Give Cheer, Give SCS	2021-09-22	environment
World Water Day	2022-01-08	environment
World Water Day	2022-01-08	grassroots
YOLO 2022	2022-04-03	animals
YOLO 2022	2022-04-03	children
YOLO 2022	2022-04-03	environment
YOLO 2022	2022-04-03	grassroots
YOLO 2022	2022-04-03	teaching
