VOID	AcctName	DateOfAffiliation
108	rob.valenzuela.589	2012-05-13
108	san.wallace.423	2011-11-19
108	vic.weaver.575	2022-05-29
108	wya.martinez.388	2021-03-06
111	ale.johnson.509	2014-06-05
111	amy.floyd.618	2015-09-08
111	amy.garcia.871	2014-10-17
111	ang.hopkins.264	2022-06-17
111	ant.fleming.613	2013-05-26
111	ash.robinson.400	2015-04-07
111	ben.turner.392	2018-05-22
111	cas.duran.250	2017-08-25
111	chr.rose.465	2021-07-11
111	cor.jr..320	2011-12-26
111	cou.brooks.739	2012-03-06
111	cry.davis.502	2011-06-29
111	dan.hayes.093	2012-08-28
111	dav.lloyd.779	2018-02-11
111	dav.ryan.302	2014-03-07
111	daw.davis.370	2018-09-18
111	dr..espinoza.407	2011-10-02
111	dyl.romero.144	2022-01-31
111	eri.lopez.817	2012-09-11
111	jam.evans.413	2020-07-02
111	jam.johnson.153	2020-08-26
111	jam.terrell.239	2012-06-20
111	jas.keith.832	2022-10-24
111	jas.morton.077	2016-07-24
111	jen.campbell.340	2015-06-21
111	jen.huerta.328	2012-09-06
111	jer.rollins.740	2012-01-10
111	jil.payne.892	2020-01-06
111	joh.coleman.076	2012-02-10
111	jos.garcia.375	2021-11-19
111	kar.carroll.734	2020-05-26
111	ker.mullen.690	2012-02-05
111	kri.edwards.715	2012-04-02
111	lar.banks.335	2018-09-22
111	log.edwards.500	2021-02-20
111	lyn.tate.654	2014-12-04
111	mar.gonzales.971	2016-09-18
111	mel.acevedo.523	2016-08-09
111	mic.case.027	2011-07-19
111	mic.reynolds.319	2017-08-02
111	mic.thompson.255	2013-05-14
111	mic.woods.516	2011-09-27
111	mig.brown.544	2017-07-30
111	mit.diaz.120	2019-12-26
111	mit.haynes.006	2012-11-26
111	mon.barber.526	2017-12-03
111	mr..ferguson.506	2016-10-20
111	nic.horn.309	2011-08-29
111	nic.sherman.130	2020-07-28
111	phi.wilson.040	2015-10-14
111	reg.hughes.236	2016-02-02
111	rob.valenzuela.589	2015-03-28
111	san.wallace.423	2013-06-16
111	vic.weaver.575	2013-01-11
111	wya.martinez.388	2014-11-21
112	ale.johnson.509	2011-05-24
112	amy.floyd.618	2019-03-10
112	amy.garcia.871	2013-07-16
112	amy.henderson.224	2012-04-20
112	ang.hopkins.264	2011-03-05
112	ant.dennis.856	2016-07-08
112	ash.robinson.400	2015-08-06
112	ben.turner.392	2013-06-26
112	cas.duran.250	2013-05-11
112	chr.rose.465	2019-09-01
112	cor.jr..320	2022-07-06
112	cou.brooks.739	2017-05-25
112	cry.davis.502	2022-11-08
112	dan.hayes.093	2021-01-27
112	dav.lloyd.779	2011-05-04
112	dav.ryan.302	2014-02-15
112	daw.davis.370	2020-06-25
112	dr..espinoza.407	2011-01-19
112	dyl.romero.144	2016-01-29
112	eli.dawson.093	2011-09-17
112	ger.riley.934	2015-04-12
112	hea.baldwin.164	2021-04-14
112	jam.evans.413	2018-11-22
112	jam.johnson.153	2019-03-23
112	jam.terrell.239	2022-08-11
112	jas.keith.832	2012-01-23
112	jas.morton.077	2017-12-16
112	jen.campbell.340	2021-08-20
112	jen.huerta.328	2021-01-27
112	jer.rollins.740	2020-05-13
112	jil.payne.892	2019-09-16
112	joh.coleman.076	2016-06-25
112	jos.garcia.375	2011-07-04
112	kar.carroll.734	2020-10-13
112	ker.mullen.690	2018-01-31
112	kri.edwards.715	2011-05-26
112	lar.banks.335	2012-11-14
112	log.edwards.500	2018-08-28
112	lyn.tate.654	2013-08-02
112	mar.gonzales.971	2022-07-14
112	mel.acevedo.523	2012-08-02
112	mic.case.027	2012-10-29
112	mic.reynolds.319	2013-08-13
112	mic.thompson.255	2020-06-28
112	mic.woods.516	2013-12-21
112	mig.brown.544	2012-06-02
112	mit.diaz.120	2016-10-28
112	mit.haynes.006	2013-01-13
112	mr..ferguson.506	2020-01-06
112	nic.horn.309	2011-08-23
112	nic.sherman.130	2014-11-05
112	phi.wilson.040	2022-10-17
112	reg.hughes.236	2012-05-19
112	rob.valenzuela.589	2018-02-03
112	san.wallace.423	2011-12-03
112	vic.weaver.575	2016-09-07
112	wya.martinez.388	2014-12-03
116	ale.johnson.509	2021-07-05
116	amy.floyd.618	2015-12-15
116	amy.garcia.871	2021-11-05
116	amy.henderson.224	2020-05-19
116	ang.hopkins.264	2020-08-13
116	ant.dennis.856	2016-06-29
116	ant.fleming.613	2020-06-19
116	ash.robinson.400	2015-12-28
116	ben.turner.392	2020-09-05
116	cas.duran.250	2012-05-24
116	chr.rose.465	2015-04-19
116	cor.jr..320	2021-12-14
116	cou.brooks.739	2019-05-05
116	cry.davis.502	2021-07-24
116	dan.hayes.093	2013-12-07
116	dav.lloyd.779	2017-06-05
116	dav.ryan.302	2014-08-08
116	daw.davis.370	2022-02-20
116	dr..espinoza.407	2016-05-20
116	dyl.romero.144	2018-06-17
116	eli.dawson.093	2020-07-21
116	eri.lopez.817	2019-07-21
116	ger.riley.934	2011-05-01
116	hea.baldwin.164	2017-08-15
116	jam.evans.413	2017-09-08
116	jam.johnson.153	2019-12-13
116	jam.terrell.239	2018-04-21
116	jas.keith.832	2018-06-07
116	jas.morton.077	2019-09-26
116	jen.campbell.340	2019-05-22
116	jen.huerta.328	2018-10-05
116	jer.rollins.740	2021-09-01
116	jil.payne.892	2022-06-07
116	joh.coleman.076	2016-01-02
116	jos.garcia.375	2016-01-14
116	kar.carroll.734	2017-07-24
116	ker.mullen.690	2011-05-26
116	kri.edwards.715	2011-01-02
116	lar.banks.335	2015-10-31
116	log.edwards.500	2018-07-24
116	lyn.tate.654	2018-06-29
116	mar.gonzales.971	2021-07-26
116	mel.acevedo.523	2011-01-25
116	mic.case.027	2011-03-19
116	mic.reynolds.319	2011-11-01
116	mic.thompson.255	2012-04-22
116	mic.woods.516	2019-11-11
116	mig.brown.544	2015-12-30
116	mit.diaz.120	2011-01-26
116	mit.haynes.006	2014-05-10
116	mon.barber.526	2019-01-27
116	mr..ferguson.506	2017-05-12
116	nic.horn.309	2021-09-27
116	nic.sherman.130	2018-05-30
116	phi.wilson.040	2022-12-11
116	reg.hughes.236	2019-03-01
116	rob.valenzuela.589	2022-07-08
116	san.wallace.423	2012-02-06
116	vic.weaver.575	2015-08-06
116	wya.martinez.388	2021-11-07
117	ale.johnson.509	2013-05-05
117	amy.floyd.618	2012-09-13
117	ang.hopkins.264	2016-01-16
117	ant.fleming.613	2017-05-17
117	ash.robinson.400	2015-07-05
117	ben.turner.392	2011-10-01
117	cas.duran.250	2022-08-16
117	chr.rose.465	2012-11-20
117	cor.jr..320	2012-12-31
117	cou.brooks.739	2020-03-29
117	cry.davis.502	2021-08-13
117	dan.hayes.093	2020-12-12
117	dav.lloyd.779	2016-07-15
117	dav.ryan.302	2011-03-24
117	daw.davis.370	2016-07-06
117	dr..espinoza.407	2018-07-03
117	dyl.romero.144	2022-07-01
117	eli.dawson.093	2011-04-09
117	eri.lopez.817	2016-08-12
117	ger.riley.934	2022-09-28
117	hea.baldwin.164	2013-08-07
117	jam.evans.413	2012-12-05
117	jam.johnson.153	2019-08-28
117	jam.terrell.239	2012-08-28
117	jas.keith.832	2013-01-22
117	jas.morton.077	2012-03-11
117	jen.campbell.340	2016-04-18
117	jen.huerta.328	2019-12-15
117	jer.rollins.740	2011-05-02
117	jil.payne.892	2019-01-11
117	joh.coleman.076	2014-11-27
117	jos.garcia.375	2012-01-16
117	kar.carroll.734	2018-03-04
117	ker.mullen.690	2012-11-10
117	kri.edwards.715	2014-11-01
117	lar.banks.335	2013-05-04
117	log.edwards.500	2020-12-07
117	lyn.tate.654	2019-06-28
117	mar.gonzales.971	2012-08-12
117	mel.acevedo.523	2021-02-20
117	mic.case.027	2021-02-19
117	mic.reynolds.319	2018-12-23
117	mic.thompson.255	2015-08-20
117	mic.woods.516	2017-03-03
117	mig.brown.544	2022-03-20
117	mit.diaz.120	2022-10-17
117	mit.haynes.006	2020-12-04
117	mon.barber.526	2022-01-29
117	mr..ferguson.506	2022-04-20
117	nic.horn.309	2022-06-22
117	nic.sherman.130	2020-05-12
117	reg.hughes.236	2016-08-08
117	san.wallace.423	2016-09-30
117	vic.weaver.575	2021-08-22
117	wya.martinez.388	2019-07-09
118	ale.johnson.509	2012-10-01
118	amy.floyd.618	2020-05-06
118	amy.garcia.871	2012-05-29
118	amy.henderson.224	2016-10-06
118	ang.hopkins.264	2014-01-02
118	ant.dennis.856	2016-04-23
118	ant.fleming.613	2021-03-18
118	ash.robinson.400	2013-05-17
118	ben.turner.392	2012-10-14
118	cas.duran.250	2022-12-11
118	chr.rose.465	2019-04-16
118	cor.jr..320	2014-10-17
118	cou.brooks.739	2012-11-28
118	cry.davis.502	2018-11-16
118	dan.hayes.093	2021-03-02
118	dav.lloyd.779	2019-02-12
118	dav.ryan.302	2022-09-27
118	dr..espinoza.407	2022-05-20
118	dyl.romero.144	2011-05-19
118	eli.dawson.093	2012-11-04
118	ger.riley.934	2018-10-27
118	hea.baldwin.164	2016-08-10
118	jam.evans.413	2018-03-05
118	jam.johnson.153	2021-09-09
118	jam.terrell.239	2011-12-19
118	jas.keith.832	2015-07-07
118	jas.morton.077	2020-11-14
118	jen.campbell.340	2016-07-01
118	jen.huerta.328	2017-03-04
118	jer.rollins.740	2021-09-14
118	jil.payne.892	2012-02-20
118	joh.coleman.076	2018-04-21
118	jos.garcia.375	2015-04-18
118	kar.carroll.734	2016-07-28
118	ker.mullen.690	2018-08-15
118	kri.edwards.715	2011-01-24
118	lar.banks.335	2016-05-29
118	log.edwards.500	2021-01-16
118	lyn.tate.654	2016-08-18
118	mar.gonzales.971	2015-10-15
118	mel.acevedo.523	2012-02-29
118	mic.case.027	2020-07-31
118	mic.reynolds.319	2011-05-26
118	mic.thompson.255	2012-10-04
118	mic.woods.516	2013-05-13
118	mig.brown.544	2017-03-18
118	mit.diaz.120	2022-06-27
118	mit.haynes.006	2015-06-27
118	mr..ferguson.506	2019-07-20
118	nic.horn.309	2015-10-16
118	nic.sherman.130	2021-06-10
118	phi.wilson.040	2021-04-29
118	reg.hughes.236	2022-07-01
118	rob.valenzuela.589	2019-08-03
118	san.wallace.423	2013-02-07
118	vic.weaver.575	2012-05-20
118	wya.martinez.388	2022-09-05
122	ale.johnson.509	2014-08-22
122	amy.floyd.618	2017-08-24
122	amy.garcia.871	2019-09-08
122	amy.henderson.224	2020-08-02
122	ang.hopkins.264	2011-08-09
122	ant.dennis.856	2022-11-27
122	ant.fleming.613	2020-11-25
122	ash.robinson.400	2018-05-19
122	ben.turner.392	2013-03-18
122	cas.duran.250	2014-03-15
122	chr.rose.465	2015-01-02
122	cor.jr..320	2016-10-19
122	cou.brooks.739	2012-07-17
122	cry.davis.502	2018-07-11
122	dan.hayes.093	2016-07-25
122	dav.lloyd.779	2011-07-30
122	dav.ryan.302	2012-11-07
122	daw.davis.370	2012-06-03
122	dr..espinoza.407	2012-09-23
122	dyl.romero.144	2012-08-12
122	eli.dawson.093	2012-09-10
122	eri.lopez.817	2020-01-27
122	ger.riley.934	2022-07-17
122	hea.baldwin.164	2022-02-10
122	jam.evans.413	2012-12-11
122	jam.johnson.153	2014-11-04
122	jam.terrell.239	2020-03-03
122	jas.keith.832	2015-08-10
122	jas.morton.077	2013-04-18
122	jen.campbell.340	2021-01-25
122	jen.huerta.328	2015-09-29
122	jer.rollins.740	2021-01-15
122	jil.payne.892	2017-05-06
122	joh.coleman.076	2015-03-11
122	jos.garcia.375	2016-04-14
122	kar.carroll.734	2015-07-28
122	ker.mullen.690	2019-12-01
122	kri.edwards.715	2014-10-29
122	lar.banks.335	2016-12-03
122	log.edwards.500	2016-12-30
122	lyn.tate.654	2022-12-18
122	mel.acevedo.523	2012-01-15
122	mic.case.027	2013-04-28
122	mic.reynolds.319	2013-05-13
122	mic.thompson.255	2019-07-26
122	mic.woods.516	2018-11-10
122	mig.brown.544	2016-10-13
122	mit.diaz.120	2017-12-21
122	mit.haynes.006	2012-02-24
122	mon.barber.526	2018-08-06
122	mr..ferguson.506	2020-03-31
122	nic.horn.309	2020-01-09
122	nic.sherman.130	2020-12-15
122	phi.wilson.040	2021-11-24
122	reg.hughes.236	2015-12-16
122	rob.valenzuela.589	2015-04-14
122	san.wallace.423	2014-02-28
122	vic.weaver.575	2011-10-14
122	wya.martinez.388	2015-12-05
150	ale.johnson.509	2013-01-16
150	amy.floyd.618	2021-09-08
150	amy.garcia.871	2019-05-02
150	ang.hopkins.264	2022-07-01
150	ant.dennis.856	2015-06-08
150	ant.fleming.613	2018-09-17
150	ash.robinson.400	2019-01-06
150	ben.turner.392	2011-01-04
150	cas.duran.250	2022-06-02
150	chr.rose.465	2012-05-28
150	cor.jr..320	2011-06-25
150	cou.brooks.739	2013-09-03
150	cry.davis.502	2014-03-08
150	dan.hayes.093	2012-05-04
150	dav.lloyd.779	2012-12-31
150	daw.davis.370	2016-02-28
150	dr..espinoza.407	2019-12-11
150	hea.baldwin.164	2019-04-23
150	jam.evans.413	2019-01-27
150	jam.johnson.153	2016-09-23
150	jam.terrell.239	2022-05-28
150	jas.keith.832	2017-07-03
150	jas.morton.077	2019-03-05
150	jen.campbell.340	2016-03-05
150	jen.huerta.328	2013-10-05
150	jer.rollins.740	2018-04-15
150	joh.coleman.076	2016-04-03
150	jos.garcia.375	2021-11-18
150	kar.carroll.734	2012-11-02
150	ker.mullen.690	2016-07-14
150	kri.edwards.715	2019-04-05
150	lar.banks.335	2016-12-05
150	log.edwards.500	2019-09-17
150	lyn.tate.654	2019-09-07
150	mar.gonzales.971	2020-08-03
150	mel.acevedo.523	2012-05-11
150	mic.case.027	2019-07-31
150	mic.reynolds.319	2016-01-21
150	mic.thompson.255	2019-12-11
150	mic.woods.516	2018-11-20
150	mig.brown.544	2017-08-22
150	mit.diaz.120	2020-01-10
150	mit.haynes.006	2018-07-28
150	mon.barber.526	2014-09-12
150	mr..ferguson.506	2022-04-24
150	nic.horn.309	2021-12-20
150	nic.sherman.130	2016-04-30
150	phi.wilson.040	2015-12-04
150	reg.hughes.236	2014-08-09
150	rob.valenzuela.589	2011-11-24
150	san.wallace.423	2014-10-05
150	vic.weaver.575	2011-12-11
150	wya.martinez.388	2016-03-27
151	ale.johnson.509	2022-01-05
151	amy.floyd.618	2018-01-06
151	amy.garcia.871	2022-03-12
151	ang.hopkins.264	2015-07-10
151	ant.dennis.856	2016-03-19
151	ant.fleming.613	2017-12-18
151	ash.robinson.400	2020-11-26
151	ben.turner.392	2021-05-26
151	cas.duran.250	2021-06-11
151	chr.rose.465	2011-11-17
151	cor.jr..320	2018-06-28
151	cou.brooks.739	2017-01-24
151	cry.davis.502	2020-07-13
151	dan.hayes.093	2014-06-12
151	dav.lloyd.779	2011-05-05
151	daw.davis.370	2021-04-16
151	dr..espinoza.407	2013-09-13
151	hea.baldwin.164	2013-04-08
151	jam.evans.413	2020-12-26
151	jam.johnson.153	2015-07-24
151	jam.terrell.239	2015-10-02
151	jas.keith.832	2011-05-07
151	jas.morton.077	2017-05-21
151	jen.campbell.340	2018-12-10
151	jen.huerta.328	2017-09-02
151	jer.rollins.740	2011-02-24
151	joh.coleman.076	2019-07-21
151	jos.garcia.375	2020-10-06
151	kar.carroll.734	2012-07-09
151	ker.mullen.690	2021-11-14
151	kri.edwards.715	2021-01-19
151	lar.banks.335	2020-12-14
151	log.edwards.500	2021-05-14
151	lyn.tate.654	2019-06-18
151	mar.gonzales.971	2014-02-14
151	mel.acevedo.523	2011-10-19
151	mic.case.027	2011-11-30
151	mic.reynolds.319	2021-11-27
151	mic.thompson.255	2013-08-06
151	mic.woods.516	2015-12-12
151	mig.brown.544	2018-07-26
151	mit.diaz.120	2022-06-07
151	mit.haynes.006	2015-07-27
151	mon.barber.526	2016-01-28
151	mr..ferguson.506	2018-09-22
151	nic.horn.309	2018-09-13
151	nic.sherman.130	2021-09-01
151	phi.wilson.040	2020-06-14
151	reg.hughes.236	2015-09-23
151	rob.valenzuela.589	2019-06-19
151	san.wallace.423	2013-03-07
151	vic.weaver.575	2022-09-28
151	wya.martinez.388	2022-05-27
152	ale.johnson.509	2017-12-13
152	amy.floyd.618	2016-10-18
152	amy.garcia.871	2014-01-26
152	ang.hopkins.264	2013-07-26
152	ant.dennis.856	2014-02-03
152	ant.fleming.613	2019-11-07
152	ash.robinson.400	2020-07-09
152	ben.turner.392	2022-08-16
152	cas.duran.250	2014-02-06
152	chr.rose.465	2016-03-21
152	cor.jr..320	2020-10-25
152	cou.brooks.739	2018-09-22
152	cry.davis.502	2019-06-10
152	dan.hayes.093	2022-09-16
152	dav.lloyd.779	2018-03-12
152	daw.davis.370	2011-08-23
152	dr..espinoza.407	2021-04-13
152	hea.baldwin.164	2012-06-08
152	jam.evans.413	2022-11-29
152	jam.johnson.153	2017-06-03
152	jam.terrell.239	2018-05-17
152	jas.keith.832	2022-08-23
152	jas.morton.077	2018-01-23
152	jen.campbell.340	2016-05-07
152	jen.huerta.328	2021-02-08
152	jer.rollins.740	2011-03-25
152	joh.coleman.076	2022-03-23
152	jos.garcia.375	2016-12-01
152	kar.carroll.734	2017-04-21
152	ker.mullen.690	2013-11-07
152	kri.edwards.715	2020-04-24
152	lar.banks.335	2016-04-09
152	log.edwards.500	2012-08-17
152	lyn.tate.654	2011-08-01
152	mar.gonzales.971	2011-04-03
152	mel.acevedo.523	2015-04-11
152	mic.case.027	2014-01-01
152	mic.reynolds.319	2020-10-25
152	mic.thompson.255	2013-04-09
152	mic.woods.516	2020-06-02
152	mig.brown.544	2015-03-18
152	mit.diaz.120	2020-10-27
152	mit.haynes.006	2019-03-28
152	mon.barber.526	2021-04-25
152	mr..ferguson.506	2011-09-06
152	nic.horn.309	2021-07-28
152	nic.sherman.130	2013-06-07
152	phi.wilson.040	2011-09-16
152	reg.hughes.236	2017-03-15
152	rob.valenzuela.589	2012-12-04
152	san.wallace.423	2012-09-02
152	vic.weaver.575	2015-12-24
152	wya.martinez.388	2013-06-15
