VOID	AcctName	Name	Date	Accepted	Complete	NumHrs
100	ant.fleming.613	Hands-on workshops	2022-12-09	1	0	\N
100	ant.fleming.613	Helping Hands	2023-02-04	\N	\N	\N
100	ant.fleming.613	INSPIRAR	2021-07-25	1	1	4
100	ant.fleming.613	Kidleidoscope 	2022-01-28	1	0	\N
100	ant.fleming.613	Old But Gold	2023-09-23	1	1	6
100	ant.fleming.613	Paddle to the Bay	2023-07-26	1	0	\N
100	ant.fleming.613	Pendeza	2022-06-22	1	0	\N
100	ant.fleming.613	Road Series rideouts	2021-12-25	\N	\N	\N
100	ant.fleming.613	Singapore International Martial Arts Tournament	2021-05-01	1	0	\N
100	ant.fleming.613	SMU Host Programme	2021-08-28	1	0	\N
100	ant.fleming.613	starringSMU	2021-06-16	\N	\N	\N
100	ant.fleming.613	World Water Day	2022-01-08	1	1	7
100	ash.robinson.400	Annual Nite Bike	2021-08-19	1	1	2
100	ash.robinson.400	Annual Pedal x Paddle	2022-04-21	1	1	6
100	ash.robinson.400	Howl-O-Ween	2021-02-21	1	1	6
100	ash.robinson.400	INSPIRAR	2021-07-25	1	0	\N
100	ash.robinson.400	Martial Mayhem	2021-12-25	\N	\N	\N
100	ash.robinson.400	Old But Gold	2023-09-23	1	0	\N
100	ash.robinson.400	Paddle to the Bay	2023-07-26	1	1	6
100	ash.robinson.400	Pendeza	2022-06-22	\N	\N	\N
100	ash.robinson.400	Road Series rideouts	2021-12-25	1	1	9
100	ash.robinson.400	Singapore International Martial Arts Tournament	2021-05-01	\N	\N	\N
100	ash.robinson.400	SMU Buddy Programme	2023-05-29	1	1	3
100	ash.robinson.400	SMU Host Programme	2021-08-28	1	0	\N
100	ash.robinson.400	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	1	9
100	ben.turner.392	Annual Pedal x Paddle	2022-04-21	1	1	9
100	ben.turner.392	Hands-on workshops	2022-12-09	\N	\N	\N
100	ben.turner.392	Howl-O-Ween	2021-02-21	1	0	\N
100	ben.turner.392	INSPIRAR	2021-07-25	\N	\N	\N
100	ben.turner.392	Kidleidoscope 	2022-01-28	1	1	15
100	ben.turner.392	Martial Mayhem	2021-12-25	1	1	5
100	ben.turner.392	Paddle to the Bay	2023-07-26	1	1	16
100	ben.turner.392	Pendeza	2022-06-22	1	1	10
100	ben.turner.392	Road Series rideouts	2021-12-25	\N	\N	\N
100	ben.turner.392	Singapore International Martial Arts Tournament	2021-05-01	1	0	\N
100	ben.turner.392	SMU Host Programme	2021-08-28	\N	\N	\N
100	ben.turner.392	World Water Day	2022-01-08	\N	\N	\N
100	chr.rose.465	Annual Pedal x Paddle	2022-04-21	1	1	6
100	chr.rose.465	Hands-on workshops	2022-12-09	\N	\N	\N
100	chr.rose.465	Helping Hands	2023-02-04	1	0	\N
100	chr.rose.465	Howl-O-Ween	2021-02-21	1	1	14
100	chr.rose.465	INSPIRAR	2021-07-25	1	1	16
100	chr.rose.465	Martial Mayhem	2021-12-25	1	0	\N
100	chr.rose.465	Paddle to the Bay	2023-07-26	1	1	7
100	chr.rose.465	Road Series rideouts	2021-12-25	0	\N	\N
100	chr.rose.465	Singapore International Martial Arts Tournament	2021-05-01	0	\N	\N
100	chr.rose.465	SMU Buddy Programme	2023-05-29	1	1	1
100	chr.rose.465	starringSMU	2021-06-16	1	1	10
100	chr.rose.465	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	0	\N
100	chr.rose.465	World Water Day	2022-01-08	1	0	\N
100	cor.jr..320	Annual Nite Bike	2021-08-19	0	\N	\N
100	cor.jr..320	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	cor.jr..320	Hands-on workshops	2022-12-09	1	0	\N
100	cor.jr..320	INSPIRAR	2021-07-25	1	0	\N
100	cor.jr..320	Kidleidoscope 	2022-01-28	1	1	2
100	cor.jr..320	Martial Mayhem	2021-12-25	1	0	\N
100	cor.jr..320	Paddle to the Bay	2023-07-26	1	0	\N
100	cor.jr..320	Paws for a Cause	2021-05-09	1	0	\N
100	cor.jr..320	Road Series rideouts	2021-12-25	1	0	\N
100	cor.jr..320	SMU Buddy Programme	2023-05-29	1	0	\N
100	cor.jr..320	SMU Host Programme	2021-08-28	1	0	\N
100	cor.jr..320	SPLASH!	2021-09-24	1	1	3
100	cor.jr..320	starringSMU	2021-06-16	1	1	3
100	cor.jr..320	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	0	\N
100	cor.jr..320	World Water Day	2022-01-08	1	1	11
100	cry.davis.502	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	cry.davis.502	Annual SMU Basketball Alumni and Corporate Networking Events	2021-02-13	\N	\N	\N
100	cry.davis.502	Hands-on workshops	2022-12-09	1	1	10
100	cry.davis.502	Helping Hands	2023-02-04	1	1	4
100	cry.davis.502	Old But Gold	2023-09-23	1	0	\N
100	cry.davis.502	Paddle to the Bay	2023-07-26	1	1	15
100	cry.davis.502	Pendeza	2022-06-22	\N	\N	\N
100	cry.davis.502	Road Series rideouts	2021-12-25	1	1	8
100	cry.davis.502	SMU Buddy Programme	2023-05-29	0	\N	\N
100	cry.davis.502	SMU Dragon Battle	2021-01-06	1	1	12
100	cry.davis.502	SPLASH!	2021-09-24	1	1	6
100	cry.davis.502	World Water Day	2022-01-08	1	0	\N
100	dan.hayes.093	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	dan.hayes.093	Hands-on workshops	2022-12-09	\N	\N	\N
100	dan.hayes.093	Howl-O-Ween	2021-02-21	1	0	\N
100	dan.hayes.093	Kidleidoscope 	2022-01-28	1	0	\N
100	dan.hayes.093	Martial Mayhem	2021-12-25	1	1	5
100	dan.hayes.093	Paddle to the Bay	2023-07-26	1	1	8
100	dan.hayes.093	Pendeza	2022-06-22	1	0	\N
100	dan.hayes.093	Road Series rideouts	2021-12-25	1	1	14
100	dan.hayes.093	Singapore International Martial Arts Tournament	2021-05-01	\N	\N	\N
100	dan.hayes.093	SMU Buddy Programme	2023-05-29	1	0	\N
100	dan.hayes.093	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	\N	\N	\N
100	dav.lloyd.779	Annual Nite Bike	2021-08-19	\N	\N	\N
100	dav.lloyd.779	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	dav.lloyd.779	Hands-on workshops	2022-12-09	0	\N	\N
100	dav.lloyd.779	INSPIRAR	2021-07-25	\N	\N	\N
100	dav.lloyd.779	Kidleidoscope 	2022-01-28	1	1	8
100	dav.lloyd.779	Martial Mayhem	2021-12-25	1	1	1
100	dav.lloyd.779	Old But Gold	2023-09-23	1	0	\N
100	dav.lloyd.779	Paddle to the Bay	2023-07-26	1	0	\N
100	dav.lloyd.779	Road Series rideouts	2021-12-25	1	1	4
100	dav.lloyd.779	SMU Host Programme	2021-08-28	\N	\N	\N
100	dav.lloyd.779	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	1	13
100	dav.lloyd.779	World Water Day	2022-01-08	1	1	16
100	dav.ryan.302	Annual Nite Bike	2021-08-19	1	0	\N
100	dav.ryan.302	Hands-on workshops	2022-12-09	1	0	\N
100	dav.ryan.302	Helping Hands	2023-02-04	\N	\N	\N
100	dav.ryan.302	Kidleidoscope 	2022-01-28	1	0	\N
100	dav.ryan.302	Pendeza	2022-06-22	1	0	\N
100	dav.ryan.302	World Water Day	2022-01-08	\N	\N	\N
100	daw.davis.370	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	daw.davis.370	Annual SMU Basketball Alumni and Corporate Networking Events	2021-02-13	1	0	\N
100	daw.davis.370	Hands-on workshops	2022-12-09	1	1	2
100	daw.davis.370	Helping Hands	2023-02-04	1	0	\N
100	daw.davis.370	Howl-O-Ween	2021-02-21	\N	\N	\N
100	daw.davis.370	INSPIRAR	2021-07-25	1	0	\N
100	daw.davis.370	Kidleidoscope 	2022-01-28	1	0	\N
100	daw.davis.370	Martial Mayhem	2021-12-25	1	1	14
100	daw.davis.370	Paddle to the Bay	2023-07-26	0	\N	\N
100	daw.davis.370	Paws for a Cause	2021-05-09	1	0	\N
100	daw.davis.370	Road Series rideouts	2021-12-25	1	0	\N
100	daw.davis.370	Singapore International Martial Arts Tournament	2021-05-01	1	0	\N
100	daw.davis.370	SPLASH!	2021-09-24	\N	\N	\N
100	daw.davis.370	starringSMU	2021-06-16	1	0	\N
100	daw.davis.370	Vegan Picnic	2023-01-19	1	1	2
100	daw.davis.370	World Water Day	2022-01-08	1	1	14
100	dr..espinoza.407	Annual Nite Bike	2021-08-19	\N	\N	\N
100	dr..espinoza.407	Annual Pedal x Paddle	2022-04-21	\N	\N	\N
100	dr..espinoza.407	Hands-on workshops	2022-12-09	1	0	\N
100	dr..espinoza.407	Helping Hands	2023-02-04	1	1	11
100	dr..espinoza.407	Kidleidoscope 	2022-01-28	1	0	\N
100	dr..espinoza.407	Paddle to the Bay	2023-07-26	0	\N	\N
100	dr..espinoza.407	Pendeza	2022-06-22	1	0	\N
100	dr..espinoza.407	Singapore International Martial Arts Tournament	2021-05-01	\N	\N	\N
100	dr..espinoza.407	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	1	10
100	dr..espinoza.407	World Water Day	2022-01-08	1	1	12
100	dyl.romero.144	Howl-O-Ween	2021-02-21	1	1	5
100	dyl.romero.144	INSPIRAR	2021-07-25	1	0	\N
100	dyl.romero.144	Kidleidoscope 	2022-01-28	1	1	8
100	dyl.romero.144	Old But Gold	2023-09-23	1	0	\N
100	dyl.romero.144	Paddle to the Bay	2023-07-26	\N	\N	\N
100	dyl.romero.144	Pendeza	2022-06-22	0	\N	\N
100	dyl.romero.144	Road Series rideouts	2021-12-25	1	1	13
100	dyl.romero.144	Singapore International Martial Arts Tournament	2021-05-01	1	0	\N
100	dyl.romero.144	SMU Buddy Programme	2023-05-29	1	1	14
100	dyl.romero.144	SMU Host Programme	2021-08-28	\N	\N	\N
100	dyl.romero.144	World Water Day	2022-01-08	1	0	\N
100	eli.dawson.093	Annual Nite Bike	2021-08-19	1	1	11
100	eli.dawson.093	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	eli.dawson.093	Hands-on workshops	2022-12-09	1	0	\N
100	eli.dawson.093	Helping Hands	2023-02-04	1	1	2
100	eli.dawson.093	Howl-O-Ween	2021-02-21	1	1	5
100	eli.dawson.093	INSPIRAR	2021-07-25	1	0	\N
100	eli.dawson.093	Kidleidoscope 	2022-01-28	1	0	\N
100	eli.dawson.093	Martial Mayhem	2021-12-25	1	1	4
100	eli.dawson.093	Paddle to the Bay	2023-07-26	\N	\N	\N
100	eli.dawson.093	Singapore International Martial Arts Tournament	2021-05-01	1	0	\N
100	eli.dawson.093	SMU Dragon Battle	2021-01-06	1	1	7
100	eli.dawson.093	SMU Host Programme	2021-08-28	1	1	6
100	eli.dawson.093	SPLASH!	2021-09-24	1	1	13
100	eli.dawson.093	Vegan Picnic	2023-01-19	1	1	12
100	eli.dawson.093	World Water Day	2022-01-08	1	0	\N
100	eri.lopez.817	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	eri.lopez.817	Helping Hands	2023-02-04	1	0	\N
100	eri.lopez.817	INSPIRAR	2021-07-25	1	1	11
100	eri.lopez.817	Kidleidoscope 	2022-01-28	0	\N	\N
100	eri.lopez.817	Paddle to the Bay	2023-07-26	1	1	8
100	eri.lopez.817	Road Series rideouts	2021-12-25	1	1	12
100	eri.lopez.817	Singapore International Martial Arts Tournament	2021-05-01	1	0	\N
100	eri.lopez.817	SMU Buddy Programme	2023-05-29	1	1	5
100	eri.lopez.817	SMU Host Programme	2021-08-28	1	0	\N
100	eri.lopez.817	starringSMU	2021-06-16	1	0	\N
100	eri.lopez.817	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	0	\N
100	ger.riley.934	Annual Nite Bike	2021-08-19	1	1	8
100	ger.riley.934	Hands-on workshops	2022-12-09	1	0	\N
100	ger.riley.934	Howl-O-Ween	2021-02-21	1	0	\N
100	ger.riley.934	INSPIRAR	2021-07-25	1	1	14
100	ger.riley.934	Martial Mayhem	2021-12-25	1	0	\N
100	ger.riley.934	Old But Gold	2023-09-23	\N	\N	\N
100	ger.riley.934	Paddle to the Bay	2023-07-26	1	1	2
100	ger.riley.934	Road Series rideouts	2021-12-25	1	0	\N
100	ger.riley.934	Singapore International Martial Arts Tournament	2021-05-01	\N	\N	\N
100	ger.riley.934	SMU Host Programme	2021-08-28	1	1	11
100	ger.riley.934	starringSMU	2021-06-16	1	1	3
100	ger.riley.934	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	1	6
100	ger.riley.934	World Water Day	2022-01-08	1	1	10
100	hea.baldwin.164	Annual Nite Bike	2021-08-19	1	0	\N
100	hea.baldwin.164	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	hea.baldwin.164	Hands-on workshops	2022-12-09	0	\N	\N
100	hea.baldwin.164	Howl-O-Ween	2021-02-21	1	1	12
100	hea.baldwin.164	Martial Mayhem	2021-12-25	1	1	4
100	hea.baldwin.164	Old But Gold	2023-09-23	\N	\N	\N
100	hea.baldwin.164	Paddle to the Bay	2023-07-26	1	1	6
100	hea.baldwin.164	Pendeza	2022-06-22	1	0	\N
100	hea.baldwin.164	Road Series rideouts	2021-12-25	1	0	\N
100	hea.baldwin.164	Singapore International Martial Arts Tournament	2021-05-01	\N	\N	\N
100	hea.baldwin.164	SMU Host Programme	2021-08-28	1	0	\N
100	hea.baldwin.164	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	0	\N
100	hea.baldwin.164	World Water Day	2022-01-08	1	1	8
100	jam.johnson.153	Annual Nite Bike	2021-08-19	1	1	3
100	jam.johnson.153	Annual Pedal x Paddle	2022-04-21	1	1	6
100	jam.johnson.153	Hands-on workshops	2022-12-09	1	1	8
100	jam.johnson.153	Howl-O-Ween	2021-02-21	0	\N	\N
100	jam.johnson.153	Martial Mayhem	2021-12-25	1	1	3
100	jam.johnson.153	Paddle to the Bay	2023-07-26	1	1	4
100	jam.johnson.153	SMU Buddy Programme	2023-05-29	1	0	\N
100	jam.johnson.153	SMU Dragon Battle	2021-01-06	0	\N	\N
100	jam.johnson.153	SMU Host Programme	2021-08-28	1	1	9
100	jam.johnson.153	SPLASH!	2021-09-24	1	0	\N
100	jam.johnson.153	Vegan Picnic	2023-01-19	1	0	\N
100	jam.johnson.153	World Water Day	2022-01-08	\N	\N	\N
100	jam.terrell.239	Annual SMU Basketball Alumni and Corporate Networking Events	2021-02-13	1	0	\N
100	jam.terrell.239	Hands-on workshops	2022-12-09	1	1	6
100	jam.terrell.239	Kidleidoscope 	2022-01-28	1	1	6
100	jam.terrell.239	Martial Mayhem	2021-12-25	1	0	\N
100	jam.terrell.239	Old But Gold	2023-09-23	1	0	\N
100	jam.terrell.239	Paddle to the Bay	2023-07-26	1	0	\N
100	jam.terrell.239	Pendeza	2022-06-22	1	1	12
100	jam.terrell.239	Road Series rideouts	2021-12-25	0	\N	\N
100	jam.terrell.239	Singapore International Martial Arts Tournament	2021-05-01	1	1	9
100	jam.terrell.239	SMU Buddy Programme	2023-05-29	1	1	13
100	jam.terrell.239	SMU Dragon Battle	2021-01-06	1	0	\N
100	jam.terrell.239	SPLASH!	2021-09-24	1	0	\N
100	jam.terrell.239	starringSMU	2021-06-16	1	1	1
100	jam.terrell.239	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	1	15
100	jam.terrell.239	Vegan Picnic	2023-01-19	1	0	\N
100	jam.terrell.239	World Water Day	2022-01-08	\N	\N	\N
100	jas.keith.832	Annual Pedal x Paddle	2022-04-21	1	1	7
100	jas.keith.832	Hands-on workshops	2022-12-09	\N	\N	\N
100	jas.keith.832	Helping Hands	2023-02-04	1	1	16
100	jas.keith.832	Howl-O-Ween	2021-02-21	1	0	\N
100	jas.keith.832	INSPIRAR	2021-07-25	1	0	\N
100	jas.keith.832	Martial Mayhem	2021-12-25	\N	\N	\N
100	jas.keith.832	Paddle to the Bay	2023-07-26	0	\N	\N
100	jas.keith.832	Pendeza	2022-06-22	1	1	6
100	jas.keith.832	Road Series rideouts	2021-12-25	1	1	5
100	jas.keith.832	SMU Host Programme	2021-08-28	1	1	10
100	jas.keith.832	starringSMU	2021-06-16	1	1	14
100	jas.keith.832	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	0	\N	\N
100	jas.keith.832	World Water Day	2022-01-08	\N	\N	\N
100	jen.huerta.328	Annual Nite Bike	2021-08-19	1	1	5
100	jen.huerta.328	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	jen.huerta.328	Annual SMU Basketball Alumni and Corporate Networking Events	2021-02-13	1	0	\N
100	jen.huerta.328	Hands-on workshops	2022-12-09	1	1	10
100	jen.huerta.328	Howl-O-Ween	2021-02-21	0	\N	\N
100	jen.huerta.328	INSPIRAR	2021-07-25	1	1	15
100	jen.huerta.328	Martial Mayhem	2021-12-25	1	0	\N
100	jen.huerta.328	Old But Gold	2023-09-23	1	1	1
100	jen.huerta.328	Road Series rideouts	2021-12-25	\N	\N	\N
100	jen.huerta.328	SMU Buddy Programme	2023-05-29	\N	\N	\N
100	jen.huerta.328	SMU Dragon Battle	2021-01-06	1	1	8
100	jen.huerta.328	SMU Host Programme	2021-08-28	\N	\N	\N
100	jen.huerta.328	SPLASH!	2021-09-24	1	0	\N
100	jen.huerta.328	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	0	\N
100	jen.huerta.328	Vegan Picnic	2023-01-19	1	0	\N
100	jen.huerta.328	World Water Day	2022-01-08	1	1	7
100	jer.rollins.740	Hands-on workshops	2022-12-09	1	1	12
100	jer.rollins.740	Helping Hands	2023-02-04	0	\N	\N
100	jer.rollins.740	Old But Gold	2023-09-23	1	1	4
100	jer.rollins.740	Paddle to the Bay	2023-07-26	1	0	\N
100	jer.rollins.740	SMU Buddy Programme	2023-05-29	0	\N	\N
100	jil.payne.892	Annual Nite Bike	2021-08-19	\N	\N	\N
100	jil.payne.892	Annual SMU Basketball Alumni and Corporate Networking Events	2021-02-13	1	1	11
100	jil.payne.892	INSPIRAR	2021-07-25	1	0	\N
100	jil.payne.892	Kidleidoscope 	2022-01-28	\N	\N	\N
100	jil.payne.892	Martial Mayhem	2021-12-25	0	\N	\N
100	jil.payne.892	Old But Gold	2023-09-23	1	1	14
100	jil.payne.892	Road Series rideouts	2021-12-25	1	0	\N
100	jil.payne.892	SMU Buddy Programme	2023-05-29	1	0	\N
100	jil.payne.892	SMU Dragon Battle	2021-01-06	1	0	\N
100	jil.payne.892	SMU Host Programme	2021-08-28	1	1	5
100	jil.payne.892	SPLASH!	2021-09-24	1	0	\N
100	jil.payne.892	starringSMU	2021-06-16	1	0	\N
100	jil.payne.892	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	\N	\N	\N
100	jil.payne.892	Vegan Picnic	2023-01-19	1	0	\N
100	jil.payne.892	World Water Day	2022-01-08	1	0	\N
100	jos.garcia.375	Annual Nite Bike	2021-08-19	1	0	\N
100	jos.garcia.375	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	jos.garcia.375	Hands-on workshops	2022-12-09	1	0	\N
100	jos.garcia.375	Kidleidoscope 	2022-01-28	1	0	\N
100	jos.garcia.375	Martial Mayhem	2021-12-25	1	0	\N
100	jos.garcia.375	Old But Gold	2023-09-23	1	0	\N
100	jos.garcia.375	Paddle to the Bay	2023-07-26	1	0	\N
100	jos.garcia.375	Singapore International Martial Arts Tournament	2021-05-01	\N	\N	\N
100	jos.garcia.375	SMU Buddy Programme	2023-05-29	1	0	\N
100	jos.garcia.375	starringSMU	2021-06-16	1	0	\N
100	jos.garcia.375	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	1	10
100	jos.garcia.375	World Water Day	2022-01-08	1	1	16
100	kar.carroll.734	Annual Nite Bike	2021-08-19	1	0	\N
100	kar.carroll.734	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	kar.carroll.734	Hands-on workshops	2022-12-09	1	1	1
100	kar.carroll.734	Howl-O-Ween	2021-02-21	\N	\N	\N
100	kar.carroll.734	INSPIRAR	2021-07-25	1	0	\N
100	kar.carroll.734	Kidleidoscope 	2022-01-28	1	0	\N
100	kar.carroll.734	Old But Gold	2023-09-23	1	0	\N
100	kar.carroll.734	Paddle to the Bay	2023-07-26	1	0	\N
100	kar.carroll.734	Singapore International Martial Arts Tournament	2021-05-01	1	0	\N
100	kar.carroll.734	SMU Buddy Programme	2023-05-29	1	1	12
100	kar.carroll.734	SMU Host Programme	2021-08-28	\N	\N	\N
100	kar.carroll.734	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	1	13
100	kar.carroll.734	World Water Day	2022-01-08	1	0	\N
100	ker.mullen.690	Annual Nite Bike	2021-08-19	1	1	12
100	ker.mullen.690	Annual Pedal x Paddle	2022-04-21	1	1	12
100	ker.mullen.690	Helping Hands	2023-02-04	\N	\N	\N
100	ker.mullen.690	INSPIRAR	2021-07-25	1	0	\N
100	ker.mullen.690	Kidleidoscope 	2022-01-28	1	0	\N
100	ker.mullen.690	Old But Gold	2023-09-23	1	0	\N
100	ker.mullen.690	Paddle to the Bay	2023-07-26	1	0	\N
100	ker.mullen.690	SMU Buddy Programme	2023-05-29	1	0	\N
100	ker.mullen.690	SMU Host Programme	2021-08-28	1	1	13
100	ker.mullen.690	starringSMU	2021-06-16	1	0	\N
100	ker.mullen.690	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	0	\N
100	ker.mullen.690	World Water Day	2022-01-08	\N	\N	\N
100	kri.edwards.715	Annual Nite Bike	2021-08-19	1	0	\N
100	kri.edwards.715	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	kri.edwards.715	Hands-on workshops	2022-12-09	1	1	10
100	kri.edwards.715	Helping Hands	2023-02-04	\N	\N	\N
100	kri.edwards.715	Howl-O-Ween	2021-02-21	1	1	6
100	kri.edwards.715	INSPIRAR	2021-07-25	\N	\N	\N
100	kri.edwards.715	Kidleidoscope 	2022-01-28	\N	\N	\N
100	kri.edwards.715	Paddle to the Bay	2023-07-26	1	1	9
